Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/recovery_status),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
0,0,0,26,10,26,1,77,25,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,26,28,55,0,1
0,0,1,25,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,25,23,57,0,1
0,0,1,26,10,26,1,75,25,75,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,26,29,55,0,1
0,0,1,25,10,26,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,26,29,56,0,1
0,0,1,26,10,25,1,77,26,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,5,25,1,4,4,5,5,25,32,57,0,1
0,0,0,26,10,26,1,77,26,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,5,5,26,28,57,0,1
0,0,0,25,10,26,1,77,25,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,5,5,25,26,55,0,1
0,0,0,26,10,25,1,77,26,77,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,4,4,26,27,56,0,1
0,0,1,26,10,26,1,76,25,76,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,31,55,0,1
0,0,1,25,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,30,57,0,1
0,0,0,26,10,26,1,77,26,77,0,0,9,9,9,0,0,9,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,1,0,5,26,0,6,6,5,5,26,28,57,0,1
0,0,2,26,10,26,1,76,25,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,26,30,55,0,1
0,0,2,25,10,25,1,78,26,77,0,0,10,10,10,0,0,10,9,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,25,32,57,0,1
0,0,1,26,10,26,1,75,25,76,0,0,10,10,10,0,0,10,9,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,27,55,0,1
0,0,1,26,10,26,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,31,57,0,1
0,0,1,25,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,25,30,57,0,1
0,0,1,26,10,26,1,75,26,75,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,30,57,0,1
0,0,1,25,10,26,1,78,25,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,29,55,0,1
0,0,0,26,10,25,1,78,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,25,30,56,0,1
0,0,2,26,10,26,1,75,25,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,2,5,5,5,5,26,29,57,0,1
0,0,1,25,10,26,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,29,56,0,1
0,0,1,26,10,25,1,77,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,28,57,0,1
0,0,0,26,10,26,1,76,25,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,4,4,26,29,55,0,1
0,0,1,25,10,25,1,78,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,31,56,0,1
0,0,1,26,10,26,1,76,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,26,30,57,0,1
0,0,1,26,10,26,1,77,25,77,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,26,31,54,0,1
0,0,1,25,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,25,30,57,0,1
0,0,0,26,10,26,1,76,26,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,26,29,57,0,1
0,0,1,26,10,26,1,77,25,77,0,0,6,6,6,0,0,6,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,29,55,0,1
0,0,2,25,10,25,1,76,26,76,0,0,0,0,0,0,0,0,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,25,27,57,0,1
0,0,2,26,10,26,1,77,25,77,0,0,0,0,0,0,0,0,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,26,2,5,5,5,5,26,22,56,0,1
0,0,1,25,10,26,1,78,26,78,0,0,5,5,5,0,0,5,10,1,11,0,6,10,0,0,0,0,0,0,0,0,1,0,8,10,0,0,0,0,0,0,0,0,0,1,7,26,1,7,7,5,5,25,34,56,0,1
0,0,1,26,10,25,1,77,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,26,31,56,0,1
0,0,2,25,9,25,1,76,25,76,0,0,10,9,9,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,9,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,25,29,56,0,1
0,0,1,26,11,27,1,78,26,78,0,0,10,11,11,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,6,1,11,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,29,57,0,1
0,0,1,26,10,25,1,76,26,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,29,56,0,1
0,0,1,26,10,26,1,77,25,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,32,55,0,1
0,0,1,25,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,30,58,0,1
0,0,1,26,10,26,1,75,26,75,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,26,30,57,0,1
0,0,1,25,10,26,1,78,25,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,28,54,0,1
0,0,1,26,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,26,57,0,1
0,0,0,26,10,26,1,75,25,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,26,26,55,0,1
0,0,1,25,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,25,29,57,0,1
0,0,1,26,10,26,1,76,26,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,31,57,0,1
0,0,1,26,10,26,1,77,25,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,32,56,0,1
0,0,1,25,10,26,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,31,56,0,1
0,0,1,26,10,19,1,76,26,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,28,57,0,1
0,0,1,26,10,32,1,77,25,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,26,31,55,0,1
0,0,1,25,10,25,1,77,26,77,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,30,57,0,1
0,0,1,26,9,26,1,78,26,77,0,0,9,9,9,0,0,9,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,9,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,26,30,57,0,1
0,0,2,25,11,26,1,76,25,77,0,0,11,11,11,0,0,11,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,5,26,2,5,5,5,5,26,29,55,0,1
0,0,0,26,10,25,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,5,5,25,28,57,0,1
0,0,1,26,10,26,1,76,26,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,31,57,0,1
0,0,1,25,10,26,1,77,25,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,24,1,5,5,5,5,25,29,55,0,1
0,0,1,26,10,25,1,78,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,27,57,0,1
0,0,1,26,10,26,1,75,25,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,31,56,0,1
0,0,1,25,10,26,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,4,4,5,5,26,27,56,0,1
0,0,1,26,10,25,1,76,26,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,30,57,0,1
